CAQ;10060 CUSTO;7;-1;-1;CUSTO DO TERRENO;
CAQ;10060 CUSTO;7.01;C00451;;AQUISICAO DE TERRENO;
CAQ;10060 CUSTO;7.01;C00451;I19812;AQUISICAO DE TERRENO;
CAQ;10060 CUSTO;7.02;C00452;;ACERTO PERMUTA REMANESCENTE;
CAQ;10060 CUSTO;7.02;C00452;I19813;ACERTO PERMUTA REMANESCENTE;
CAQ;10060 CUSTO;7.03;C00453;;ALUGUEL DE IMOVEIS PARA PERMUTANTES;
CAQ;10060 CUSTO;7.03;C00453;I19814;ALUGUEL DE IMOVEIS PARA PERMUTANTES;
CAQ;10060 CUSTO;7.04;C00454;;FIANCA BANCARIA / SEGURO PERFORMANCE BOND / GARANTIA TERRENO;
CAQ;10060 CUSTO;7.04;C00454;I19815;FIANCA BANCARIA / SEGURO PERFORMANCE BOND / GARANTIA TERRENO;
CAQ;10060 CUSTO;7.05;C00455;;ITBI / ISTI / REGISTRO;
CAQ;10060 CUSTO;7.05;C00455;I19816;ITBI / ISTI / REGISTRO;
CAQ;10060 CUSTO;7.06;C00456;;IPTU / ITU / AGUA E ENERGIA DO TERRENO;
CAQ;10060 CUSTO;7.06;C00456;I19817;IPTU / ITU / AGUA E ENERGIA DO TERRENO;
CAQ;10060 CUSTO;7.07;C00457;;INTERMEDIACAO DE NEGOCIO;
CAQ;10060 CUSTO;7.07;C00457;I19818;INTERMEDIACAO DE NEGOCIO;Uso de solo, concess∆o de fechamento loteamento, demarcaá∆o de cantos de quadra, excritura de cauá∆o, parcelamento do terreno. 
CAQ;10060 CUSTO;7.08;C00458;;LEGALIZACAO DE TERRENO;
CAQ;10060 CUSTO;7.08;C00458;I19819;LEGALIZACAO DE TERRENO;
CAQ;10060 CUSTO;7.09;C00459;;LEVANTAMENTO PLANIALTIMETRICO / SONDAGEM;
CAQ;10060 CUSTO;7.09;C00459;I19820;LEVANTAMENTO PLANIALTIMETRICO / SONDAGEM;
CAQ;10060 CUSTO;7.1;C00460;;ESCRITURA / OUTRAS CERTIDOES;
CAQ;10060 CUSTO;7.1;C00460;I19821;ESCRITURA / OUTRAS CERTIDOES;Certid‰es, lavratura de escritura, registro de escritura. 
CAQ;10060 CUSTO;7.11;C00461;;CONSTRUCAO DE EDIFICACOES;
CAQ;10060 CUSTO;7.11;C00461;I19822;CONSTRUCAO DE EDIFICACOES;
CAQ;10060 CUSTO;7.12;C00462;;DEMOLICAO DE EDIFICACOES EXISTENTES / LIMPEZA;
CAQ;10060 CUSTO;7.12;C00462;I19823;DEMOLICAO DE EDIFICACOES EXISTENTES / LIMPEZA;
CAQ;10060 CUSTO;7.13;C00463;;CANCELAMENTO DE LIGACOES DE AGUA E ESGOTO;
CAQ;10060 CUSTO;7.13;C00463;I19824;CANCELAMENTO DE LIGACOES DE AGUA E ESGOTO;
CAQ;10060 CUSTO;7.14;C00464;;CORTE E REMOCAO DE ARVORES;
CAQ;10060 CUSTO;7.14;C00464;I19825;CORTE E REMOCAO DE ARVORES;
CAQ;10060 CUSTO;7.15;C00465;;REMEMBRAMENTO DE TERRENO;
CAQ;10060 CUSTO;7.15;C00465;I19826;REMEMBRAMENTO DE TERRENO;
CAQ;10060 CUSTO;7.16;C00466;;COMISSAO SOBRE TERRENO;
CAQ;10060 CUSTO;7.16;C00466;I19827;COMISSAO SOBRE TERRENO;
CAQ;10060 CUSTO;7.17;C00467;;CONDOMINIO SOBRE TERRENO;
CAQ;10060 CUSTO;7.17;C00467;I19828;CONDOMINIO SOBRE TERRENO;
CAQ;10060 CUSTO;7.18;C00468;;OUTORGA ONEROSA / TRANSFERENCIA DE INDICE;
CAQ;10060 CUSTO;7.18;C00468;I19829;OUTORGA ONEROSA / TRANSFERENCIA DE INDICE;
CAQ;10060 CUSTO;7.19;C00469;;ASSESSORIA NA CAPTACAO DE TERRENOS;
CAQ;10060 CUSTO;7.19;C00469;I19830;ASSESSORIA NA CAPTACAO DE TERRENOS;
CAQ;10060 CUSTO;7.2;C00470;;ANALISE JURIDICA DO TERRENO POR IMOVEL;
CAQ;10060 CUSTO;7.2;C00470;I19831;ANALISE JURIDICA DO TERRENO POR IMOVEL;
CAQ;10060 CUSTO;7.21;C00471;;COMPRA DE IMOVEIS;
CAQ;10060 CUSTO;7.21;C00471;I19832;COMPRA DE IMOVEIS;
CAQ;10060 CUSTO;7.22;C00472;;OUTROS CUSTOS DE TERRENO;
CAQ;10060 CUSTO;7.22;C00472;I19833;OUTROS CUSTOS DE TERRENO;
